road_age_years,daily_traffic,heavy_vehicle_pct,rainfall_mm,waterlogging_events,drainage_score,asphalt_quality,repair_count,avg_temperature,soil_stability,road_damage_index,predicted_damage,risk_level,x,y
7,30327,44.419522217220305,187,6,3,10,4,12,8,38.17627420330291,38.09527811285019,Moderate,58,93
20,15209,43.82947216290964,154,17,2,1,4,24,9,122.72661756581961,128.3344287368977,Critical,36,42
15,49443,17.88094828834496,441,6,1,1,8,20,10,119.36868991705731,121.42312989688344,Critical,75,40
11,16029,19.82989195705623,267,0,2,3,8,43,1,80.2602521704636,82.83586943863142,Critical,28,9
8,3077,41.01238924811486,271,2,2,9,9,36,10,27.509693423010162,24.478747854954314,Healthy,97,97
7,14907,26.45473213291175,380,10,5,2,4,32,4,78.05865038175207,78.2885093246206,Critical,81,74
19,37635,15.70013833349512,154,14,9,10,4,26,2,79.31008627615829,74.28161317847078,Critical,8,83
11,49920,45.242377933311495,453,2,1,5,5,32,9,107.08504096108376,109.07879900296496,Critical,45,6
11,5873,13.478113838498379,453,12,4,9,7,43,9,40.688878920714785,46.84279406556759,Moderate,75,20
4,9635,52.06040152797207,176,3,10,7,5,30,1,23.58863433404433,20.209442139111573,Healthy,8,74
8,34065,33.30682382285052,314,7,7,8,5,42,3,67.73032623220382,68.42475162331742,Moderate,64,86
3,46863,10.813533213361538,249,3,10,2,8,14,10,9.203473681102473,10.523202082949616,Healthy,70,43
2,42804,43.173978344204144,301,17,3,5,0,26,8,92.69264633077326,94.98598677125648,Critical,41,94
12,34783,33.55396717659973,64,6,8,9,3,10,2,39.408608212306945,38.94856613241489,Moderate,33,81
6,35152,21.393166448714524,275,10,3,1,9,16,2,109.81465630496986,111.4305246595087,Critical,95,87
2,42513,28.239665912312017,402,3,8,1,9,12,2,76.60880749000056,74.05152715988163,Critical,27,85
1,30092,21.40857589731243,154,12,2,10,1,35,5,44.658537150699615,40.91705884703363,Moderate,89,36
12,18653,19.466420965853125,282,8,5,8,8,25,9,36.294095379917515,38.19260800385765,Moderate,99,43
12,33463,13.99846314640417,368,8,4,2,2,25,7,88.74008852279515,79.01952525010135,Critical,60,64
17,35028,24.952192322561174,268,18,9,9,9,23,7,82.91810858235642,85.94160381655828,Critical,39,5
10,41469,18.80429634738389,326,2,3,10,1,35,2,60.16252089451555,60.15334635035151,Moderate,53,37
16,21947,42.58889678796544,310,11,5,9,7,36,2,98.90648780578155,107.13136172371439,Critical,58,92
15,30978,42.61322076398185,430,10,10,4,3,26,5,88.24622026923818,88.7802020574305,Critical,77,42
15,23056,32.60121334056011,468,19,9,2,1,13,7,96.8991437261662,97.98398548107403,Critical,44,56
19,30007,47.78694901086766,390,10,6,3,3,26,7,115.28848170506004,115.72441013121973,Critical,94,74
12,44169,51.27368454533265,418,16,2,10,6,42,9,135.95280343571073,131.6450040209608,Critical,79,79
20,49287,36.88715515888502,481,13,1,1,6,39,3,211.6538347782268,204.179069631917,Critical,38,69
3,45632,39.04143395198886,385,15,1,3,0,30,1,149.00538503614058,143.84021764550943,Critical,41,64
